event,latency
user_msg_5_2,0.09598050004569814
user_msg_5_3,0.09439139999449253
user_msg_5_4,0.0929179000086151
user_msg_5_5,0.09128200000850484
user_msg_5_6,0.08981949998997152
user_msg_5_7,0.08833610004512593
user_msg_5_8,0.08681310003157705
user_msg_5_9,0.08548270002938807
user_msg_6_0,0.09971539996331558
user_msg_6_1,0.09797719999914989
user_msg_6_2,0.09627009998075664
user_msg_6_3,0.09469569998327643
user_msg_6_4,0.09322029998293146
user_msg_6_5,0.09159160003764555
user_msg_6_6,0.09012929996242747
user_msg_6_7,0.08863999997265637
user_msg_6_8,0.08711799996672198
user_msg_6_9,0.08584650000557303
user_msg_7_0,0.0999617999768816
user_msg_7_1,0.09832549997372553
user_msg_7_2,0.0966286999755539
user_msg_7_3,0.09506029996555299
user_msg_7_4,0.09346399997593835
user_msg_7_5,0.09195460000773892
user_msg_7_6,0.0904809000203386
user_msg_7_7,0.0889974000165239
user_msg_7_8,0.08748029998969287
user_msg_7_9,0.08615579997422174
memory_current,memory_peak
2586115,2619238
user_msg_0_0,0.017996500013396144
user_msg_0_1,0.03269630001159385
user_msg_0_2,0.04156220000004396
user_msg_0_3,0.05074470001272857
user_msg_0_4,0.056873499997891486
user_msg_0_5,0.06402029999298975
user_msg_0_6,0.06981999997515231
user_msg_0_7,0.07599320000736043
user_msg_0_8,0.08261250000214204
user_msg_0_9,0.09005639998940751
user_msg_1_0,0.10454630001913756
user_msg_1_1,0.1026735000195913
user_msg_1_2,0.10109839995857328
user_msg_1_3,0.09949900000356138
user_msg_1_4,0.097995100019034
user_msg_1_5,0.09636100003262982
user_msg_1_6,0.09471909998683259
user_msg_1_7,0.09311199997318909
user_msg_1_8,0.09161419997690246
user_msg_1_9,0.09081749996403232
user_msg_2_0,0.10523340001236647
user_msg_2_1,0.10342350002611056
user_msg_2_2,0.10185589996399358
user_msg_2_3,0.10025880002649501
user_msg_2_4,0.09874739998485893
user_msg_2_5,0.09712009999202564
user_msg_2_6,0.09547729999758303
user_msg_2_7,0.09387169999536127
user_msg_2_8,0.09237620001658797
user_msg_2_9,0.09114079998107627
user_msg_3_0,0.10550020000664517
user_msg_3_1,0.10373350000008941
user_msg_3_2,0.10213800001656637
user_msg_3_3,0.10057510004844517
user_msg_3_4,0.09906310000224039
user_msg_3_5,0.09743949997937307
user_msg_3_6,0.0957983999978751
user_msg_3_7,0.09419450000859797
user_msg_3_8,0.09269989997847006
user_msg_3_9,0.09160580002935603
user_msg_4_0,0.10592070000711828
user_msg_4_1,0.10420090000843629
user_msg_4_2,0.10260810004547238
user_msg_4_3,0.10104829998454079
user_msg_4_4,0.09953509998740628
user_msg_4_5,0.09791199996834621
user_msg_4_6,0.09627049998380244
user_msg_4_7,0.09467040002346039
user_msg_4_8,0.09317340003326535
user_msg_4_9,0.09189300000434741
user_msg_5_0,0.10619289998430759
